# theta[deg]  MoM_theta[dBsm]  Mie_theta[dBsm]  MoM_phi[dBsm]  Mie_phi[dBsm]
115.0000 6.7259 6.8718 -50.0608 -200.0000
116.0000 6.8675 7.0044 -50.0689 -200.0000
117.0000 6.9938 7.1218 -50.0885 -200.0000
118.0000 7.1054 7.2247 -50.1194 -200.0000
119.0000 7.2028 7.3136 -50.1639 -200.0000
120.0000 7.2865 7.3890 -50.2211 -200.0000
121.0000 7.3571 7.4514 -50.2920 -200.0000
122.0000 7.4150 7.5012 -50.3767 -200.0000
123.0000 7.4606 7.5390 -50.4755 -200.0000
124.0000 7.4944 7.5650 -50.5898 -200.0000
125.0000 7.5167 7.5797 -50.7202 -200.0000
126.0000 7.5279 7.5834 -50.8681 -200.0000
127.0000 7.5283 7.5764 -51.0331 -200.0000
128.0000 7.5183 7.5592 -51.2170 -200.0000
129.0000 7.4982 7.5320 -51.4207 -200.0000
130.0000 7.4684 7.4952 -51.6455 -200.0000
131.0000 7.4290 7.4490 -51.8924 -200.0000
132.0000 7.3804 7.3937 -52.1640 -200.0000
133.0000 7.3229 7.3296 -52.4610 -200.0000
134.0000 7.2568 7.2571 -52.7854 -200.0000
135.0000 7.1824 7.1764 -53.1406 -200.0000
136.0000 7.1000 7.0879 -53.5283 -200.0000
137.0000 7.0098 6.9917 -53.9523 -200.0000
138.0000 6.9122 6.8884 -54.4162 -200.0000
139.0000 6.8074 6.7781 -54.9244 -200.0000
140.0000 6.6959 6.6612 -55.4814 -200.0000
141.0000 6.5778 6.5381 -56.0937 -200.0000
142.0000 6.4537 6.4091 -56.7676 -200.0000
143.0000 6.3238 6.2747 -57.5138 -200.0000
144.0000 6.1885 6.1352 -58.3409 -200.0000
145.0000 6.0482 5.9911 -59.2599 -200.0000
146.0000 5.9034 5.8428 -60.2844 -200.0000
147.0000 5.7544 5.6908 -61.4220 -200.0000
148.0000 5.6018 5.5356 -62.6754 -200.0000
149.0000 5.4461 5.3778 -64.0125 -200.0000
150.0000 5.2878 5.2179 -65.3378 -200.0000
151.0000 5.1273 5.0565 -66.4045 -200.0000
152.0000 4.9653 4.8941 -66.8514 -200.0000
153.0000 4.8024 4.7315 -66.4555 -200.0000
154.0000 4.6392 4.5692 -65.3999 -200.0000
155.0000 4.4762 4.4079 -64.0591 -200.0000
156.0000 4.3142 4.2483 -62.6851 -200.0000
157.0000 4.1537 4.0911 -61.3916 -200.0000
158.0000 3.9955 3.9367 -60.2116 -200.0000
159.0000 3.8401 3.7860 -59.1482 -200.0000
160.0000 3.6881 3.6396 -58.1907 -200.0000
161.0000 3.5403 3.4979 -57.3275 -200.0000
162.0000 3.3972 3.3616 -56.5478 -200.0000
163.0000 3.2592 3.2312 -55.8403 -200.0000
164.0000 3.1271 3.1071 -55.1972 -200.0000
165.0000 3.0012 2.9897 -54.6108 -200.0000
166.0000 2.8820 2.8794 -54.0752 -200.0000
167.0000 2.7698 2.7764 -53.5851 -200.0000
168.0000 2.6651 2.6810 -53.1371 -200.0000
169.0000 2.5680 2.5932 -52.7259 -200.0000
170.0000 2.4788 2.5132 -52.3496 -200.0000
171.0000 2.3977 2.4411 -52.0053 -200.0000
172.0000 2.3248 2.3768 -51.6906 -200.0000
173.0000 2.2603 2.3203 -51.4032 -200.0000
174.0000 2.2042 2.2715 -51.1420 -200.0000
175.0000 2.1564 2.2305 -50.9054 -200.0000
176.0000 2.1172 2.1970 -50.6914 -200.0000
177.0000 2.0864 2.1711 -50.4990 -200.0000
178.0000 2.0642 2.1527 -50.3276 -200.0000
179.0000 2.0504 2.1416 -50.1759 -200.0000
180.0000 2.0451 2.1379 -50.0434 -200.0000
