# 金属球双站 RCS（CFIE MoM）
# 波长 (m):   2.0944
# 波数 k (rad/m):   3.0000
# RWG 基函数数: 1074
# 入射方向: +z, 极化: x, 观察面: φ=0 (xz-plane)
# theta(deg)  RCS_theta(dBsm)  RCS_phi(dBsm)  RCS_total(dBsm)
  144.00        6.188806      -58.219658        6.188807
  145.00        6.048582      -59.135040        6.048583
  146.00        5.903795      -60.154118        5.903797
  147.00        5.754896      -61.287369        5.754897
  148.00        5.602340      -62.533646        5.602341
  149.00        5.446642      -63.865391        5.446643
  150.00        5.288289      -65.182976        5.288289
  151.00        5.127856      -66.252922        5.127857
  152.00        4.965884      -66.713104        4.965884
  153.00        4.802965      -66.337799        4.802966
  154.00        4.639710      -65.302574        4.639711
  155.00        4.476723      -63.973888        4.476724
  156.00        4.314655      -62.604439        4.314656
  157.00        4.154146      -61.313332        4.154148
  158.00        3.995830      -60.134487        3.995831
  159.00        3.840350      -59.070873        3.840353
  160.00        3.688342      -58.113232        3.688345
  161.00        3.540416      -57.249687        3.540420
  162.00        3.397175      -56.468792        3.397180
  163.00        3.259162      -55.761368        3.259168
  164.00        3.126902      -55.117371        3.126909
  165.00        3.000884      -54.530540        3.000892
  166.00        2.881544      -53.994411        2.881553
  167.00        2.769264      -53.504112        2.769274
  168.00        2.664378      -53.055519        2.664390
  169.00        2.567165      -52.644238        2.567179
  170.00        2.477862      -52.268044        2.477877
  171.00        2.396650      -51.923256        2.396666
  172.00        2.323666      -51.608715        2.323684
  173.00        2.259022      -51.321243        2.259041
  174.00        2.202775      -51.059822        2.202796
  175.00        2.154991      -50.823002        2.155013
  176.00        2.115656      -50.609051        2.115680
  177.00        2.084823      -50.416790        2.084847
  178.00        2.062506      -50.245251        2.062532
  179.00        2.048687      -50.093719        2.048714
  180.00        2.043392      -49.961544        2.043419
